سرسره بازی ;4000;sabz
استخر توپ  ;3000;narenji
ترامپولین ;3000;narenji
یوروبانجی ;5000;zard
قایق سواری ;3000;narenji
سرسره آبشار ;3000;sabz
گردونه زنبور ;3000;abi
ایرهاکی ;4000;abi
کشتی صبا  ;5000;zard
بلیط مهمان;0;abi
